ts,asset,dw,regime
2025-11-27T03:00:00+00:00,BNB,2.94158e-05,capitulation
2025-11-27T03:00:00+00:00,BTC,2.94158e-05,capitulation
2025-11-27T04:00:00+00:00,BNB,2.96962e-05,capitulation
2025-11-27T04:00:00+00:00,BTC,2.96962e-05,capitulation
2025-11-27T05:00:00+00:00,BNB,0.0001102691,capitulation
2025-11-27T05:00:00+00:00,BTC,0.0001102691,capitulation
2025-11-27T06:00:00+00:00,BNB,9.1475e-06,capitulation
2025-11-27T06:00:00+00:00,BTC,9.1475e-06,capitulation
2025-11-27T07:00:00+00:00,BNB,0.0001470157,capitulation
2025-11-27T07:00:00+00:00,BTC,0.0001470157,capitulation
2025-11-27T08:00:00+00:00,BNB,4.35095e-05,capitulation
2025-11-27T08:00:00+00:00,BTC,4.35095e-05,capitulation
2025-11-27T09:00:00+00:00,BNB,1.25971e-05,capitulation
2025-11-27T09:00:00+00:00,BTC,1.25971e-05,capitulation
2025-11-27T10:00:00+00:00,BNB,1.18027e-05,capitulation
2025-11-27T10:00:00+00:00,BTC,1.18027e-05,capitulation
2025-11-27T11:00:00+00:00,BNB,8.7421e-06,capitulation
2025-11-27T11:00:00+00:00,BTC,8.7421e-06,capitulation
2025-11-27T12:00:00+00:00,BNB,1.85198e-05,capitulation
2025-11-27T12:00:00+00:00,BTC,1.85198e-05,capitulation
2025-11-27T13:00:00+00:00,BNB,6.49899e-05,capitulation
2025-11-27T13:00:00+00:00,BTC,6.49899e-05,capitulation
2025-11-27T14:00:00+00:00,BNB,3.56901e-05,capitulation
2025-11-27T14:00:00+00:00,BTC,3.56901e-05,capitulation
2025-11-27T15:00:00+00:00,BNB,8.30604e-05,capitulation
2025-11-27T15:00:00+00:00,BTC,8.30604e-05,capitulation
2025-11-27T16:00:00+00:00,BNB,0.0007383027,capitulation
2025-11-27T16:00:00+00:00,BTC,0.0007383027,capitulation
2025-11-27T17:00:00+00:00,BNB,0.0020768423,capitulation
2025-11-27T17:00:00+00:00,BTC,0.0020768423,capitulation
